아파트,cluster,군집별총합
신원2차아파트,3,0.745736
인정멜로디아파트,3,0.745736
금전마을계룡리슈빌,2,1.095576
용인포곡삼성쉐르빌아파트,3,0.745736
배머루마을 인정베네치아빌리지,3,0.745736
계수마을수목원우림필유,3,0.745736
풍산햇빛마을,3,0.745736
샘골마을풍성신미주아파트1단지,3,0.745736
샘골마을풍성신미주아파트2단지,3,0.745736
한천마을 금광베네스타아파트,3,0.745736
에이스카운티아파트,3,0.745736
송전마을 세광엔리치타워,3,0.745736
양지마을 신원아침도시,3,0.745736
유메이드,2,1.095576
스위트홈아파트,3,0.745736
삼환아파트,2,1.095576
신우아파트,3,0.745736
김량장동 어울림아파트,3,0.745736
용인웰메이드시티337,2,1.095576
풍림아파트,3,0.745736
삼현마을진우아파트,3,0.745736
금령마을우남퍼스트빌,3,0.745736
용인 행정타운 두산위브 1단지,3,0.745736
용인 행정타운 두산위브 2단지,1,1.147635
용인 행정타운 두산위브 3단지,3,0.745736
인정프린스아파트3차,3,0.745736
성웅아파트,3,0.745736
금평마을영화아파트,3,0.745736
보평마을삼정그린뷰아파트,3,0.745736
예원마을코아루아파트,3,0.745736
양우내안애에듀퍼스트,1,1.147635
인정피렌체빌리지1차아파트,3,0.745736
이삭아파트,3,0.745736
예진마을인정피렌체빌리지II아파트,2,1.095576
임원마을아이닉스영화아파트,2,1.095576
인정피렌체빌리지3차아파트,3,0.745736
라이프아파트 101동,2,1.095576
마평우성아파트,3,0.745736
두보아파트,3,0.745736
마평주공1단지아파트,3,0.745736
용인GS자이아파트,2,1.095576
한성아파트,1,1.147635
기흥동부아파트,4,0.928836
한성2차아파트,2,1.095576
기흥구갈한양수자인아파트,1,1.147635
기흥우림아파트,3,0.745736
강남마을자연&아이원4단지아파트,1,1.147635
계룡리슈빌7단지아파트,1,1.147635
기흥역지웰푸르지오,1,1.147635
기흥역롯데캐슬레이시티,4,0.928836
세종그랑시아2차아파트,2,1.095576
삼정선비마을아파트,3,0.745736
보라삼성래미안아파트,2,1.095576
쌍용스윗닷홀아파트,0,1.54255
민속마을신창미션힐아파트,1,1.147635
보라마을 현대모닝사이드2차아파트,1,1.147635
민속마을 현대모닝사이드아파트,1,1.147635
한보라마을 휴먼시아4단지아파트,2,1.095576
한보라에듀포레아파트,3,0.745736
한보라 THE HILL 아파트,1,1.147635
한보라마을 파크드림아파트,4,0.928836
보라해링턴플레이스,1,1.147635
써니밸리아파트,1,1.147635
호수청구아파트,3,0.745736
용인기흥벽산블루밍아파트,3,0.745736
한보라마을휴먼시아7단지아파트,1,1.147635
한보라마을경남아너스빌,3,0.745736
공세성원상떼레이크뷰아파트,5,1.38777
탑실마을 대주피오레1단지아파트,1,1.147635
탑실마을 대주피오레2단지아파트,0,1.54255
기흥고매동성아파트,3,0.745736
세원아파트,3,0.745736
매화마을 우남퍼스트빌아파트,3,0.745736
매화마을 우림홀인원아파트,3,0.745736
기흥써니밸리아파트,2,1.095576
화성파크드림프라브타운하우스,2,1.095576
서그내마을에스케이아파트,1,1.147635
서그내마을 서천아이파크아파트,4,0.928836
힐스테이트 서천,1,1.147635
서천마을 쌍용예가4단지아파트,2,1.095576
영통로 효성해링턴플레이스,1,1.147635
용인서천 효성해링턴플레이스,2,1.095576
예현마을 현대홈타운아파트,4,0.928836
서천 센트럴파크원,1,1.147635
하마비마을 언남동부아파트,4,0.928836
하마비마을 동일하이빌1차아파트,1,1.147635
언동마을 신일아파트,2,1.095576
하마비마을 동부센트레빌아파트,4,0.928836
하마비마을 동일하이빌2차아파트,1,1.147635
초원마을 성원상떼빌2차아파트,1,1.147635
휴먼시아 물푸레마을 3단지 아파트,1,1.147635
물푸레마을4단지 경남아너스빌아파트,4,0.928836
물푸레마을 구성더포레스트6단지 아파트,2,1.095576
물푸레마을 휴먼시아7단지아파트,2,1.095576
물푸레마을 호반베르디움8단지아파트,4,0.928836
교동마을 신창아파트,3,0.745736
교동마을 정광아파트,3,0.745736
구성우림아파트,4,0.928836
블루밍구성더센트럴,0,1.54255
연원마을 엘지자이아파트,4,0.928836
교동마을 엘지자이아파트,2,1.095576
교동마을 쌍용아파트,4,0.928836
구성삼성래미안1차아파트,5,1.38777
교동마을 현대홈타운아파트,1,1.147635
교동마을 마북e편한세상1차아파트,4,0.928836
교동마을 구성자이3차아파트,4,0.928836
구성파라곤아파트,4,0.928836
구성역 효성해링턴플레이스,4,0.928836
