,행정동,유소년,연봉,차량수,현재수요count,잠재수요지수,현재수요지수,잠재수요순위,현재수요순위,순위점수합,최종순위
6,성복동,1,0.172143975,1,103420.254,1.427069016,1,1,1,2,1
0,동천동,0.8525633988,0.161971831,0.941210744,95293.624,1.25449791,0.9143959303,4,3,7,2
7,상현1동,0.8493797343,0.5273865415,0.8091738239,80829.972,1.399996001,0.7620391142,2,5,7,2
4,죽전1동,0.8761664288,0.08920187793,0.9249679689,98960.946,1.234194419,0.9530266651,5,2,7,2
34,역삼동,0.7305961137,0.3740219092,0.8777020334,83327.567,1.223217905,0.7883482111,6,4,10,5
20,구갈동,0.5889779339,0.4538341158,0.7284274311,76355.63,1.073593374,0.7149074145,7,6,13,6
2,풍덕천2동,0.8162257108,0,0.5642985323,71517.848,1.005897221,0.6639473207,8,8,16,7
8,상현2동,0.5651553409,0.5273865415,0.4574462308,65324.381,0.9975492485,0.5987067498,9,13,22,8
21,구성동,0.608079921,0.1471048513,0.6382916739,70373.6,0.900342783,0.6518940728,14,9,23,9
3,신봉동,0.6916236689,0.01408450704,0.5866107324,73854.709,0.8962360926,0.6885632823,16,7,23,9
11,보라동,0.526182896,0.3873239437,0.5723358387,66974.472,0.9231932284,0.6160884326,13,11,24,11
10,영덕1동,0.5211329454,1,0.6825832022,43490.345,1.278898571,0.3687119871,3,22,25,12
33,유림동,0.5400153694,0.351486698,0.7104818505,61571.031,0.964525093,0.5591698157,12,14,26,13
13,보정동,0.5851355802,0.338028169,0.6426032745,58536.926,0.979719388,0.5272092446,10,18,28,14
17,신갈동,0.5136678011,0.1455399061,0.6338635437,66949.827,0.8036154665,0.6158288278,18,12,30,15
14,동백1동,0.657152267,0.1737089202,0.4410515096,58422.144,0.8971748417,0.5260001572,15,19,34,16
23,마북동,0.4015808541,0.4507042254,0.455106916,60651.371,0.7926744161,0.5494823267,19,15,34,16
1,풍덕천1동,0.4434076188,0,0.464717374,67523.901,0.5996080002,0.6218759926,27,10,37,18
31,포곡읍,0.4053134263,0.1392801252,0.6938180971,59914.552,0.7121056917,0.5417208432,23,16,39,19
30,남사읍,0.4709627841,0.641627543,0.4732855561,32876.348,0.9690382686,0.25690656,11,28,39,19
9,동백2동,0.5105939181,0.2237871674,0.3134389506,44339.944,0.7341816353,0.3776614695,22,21,43,21
16,영덕2동,0.2268086508,0.8348982786,0.2603172233,39286.576,0.7554133737,0.3244304418,20,25,45,22
28,모현읍,0.3107915249,0.1408450704,0.6083435297,59136.142,0.5896809739,0.5335212495,28,17,45,22
22,동백3동,0.5414425294,0.1987480438,0.3056971526,38931.272,0.7491990005,0.3206877504,21,26,47,24
19,기흥동,0.2753320891,0.848200313,0.3128823632,26240.418,0.8286329078,0.1870051846,17,32,49,25
26,양지면,0.1947524426,0.5054773083,0.4105925537,40140.253,0.59982249,0.3334228809,26,24,50,26
18,상하동,0.3026676913,0.1549295775,0.330769679,53582.543,0.4957006273,0.4750209024,30,20,50,26
27,이동읍,0.2158304973,0.5399061033,0.4170016897,32651.623,0.6412447625,0.254539358,25,29,54,28
12,서농동,0.4439565265,0.2527386541,0.3323428305,32442.825,0.6891943223,0.2523399274,24,30,54,28
32,중앙동,0.2466791086,0.06338028169,0.4276058964,42238.038,0.4238917225,0.3555204704,31,23,54,28
5,죽전2동,0.1921176858,0.08920187793,0.08505358894,38315.322,0.2678344181,0.3141994734,33,27,60,31
29,동부동,0.08837413547,0.7445226917,0.08133776146,19365.8,0.5090717339,0.1145895242,29,33,62,32
15,상갈동,0.1149412669,0.2331768388,0,26605,0.2381370739,0.1908456084,35,31,66,33
24,원삼면,0.01921176858,0.4773082942,0.01578978034,19189.782,0.2766983516,0.1127353907,32,34,66,33
25,백암면,0,0.4694835681,0.05791528288,8487.501,0.2675116812,0,34,35,69,35
