,유동인구,기업체 수,잠재수요지수,행정동,현재수요지수,현재수요순위,잠재수요순위,최종순위
32,1.0,0.737591713422529,1.2936058576029157,포곡읍,0.6552463077398083,6,1,7
23,0.5699055003634601,0.6896849374190763,0.8444415802051565,역삼동,0.6928282990704295,5,8,13
8,0.582505451902108,0.6763055675442382,0.8517157379546351,동천동,0.5575910444398926,7,7,14
20,0.7877392779258541,0.5131635735865343,0.9920092397104454,신갈동,0.5216190282066004,11,4,15
13,0.8557063242064453,0.7332757876564523,1.1475941838128547,보정동,0.4916385384580894,13,2,15
19,0.6406590743881754,0.36728528269313765,0.7868607038908559,성복동,0.7212808587811892,4,12,16
27,0.7301914223406833,0.3129046180405697,0.8547462770873854,유림동,0.5297232317331126,10,6,16
10,0.34807366125514905,0.9533880017263703,0.7275794186833764,모현읍,0.9670732781947295,2,14,16
0,0.42742912527259513,0.9305135951661632,0.7978294933193395,구갈동,0.5563194465618329,8,10,18
22,0.8272352798643081,0.544669831678895,1.044046627023395,양지면,0.4221140895372519,20,3,23
29,0.34625636055245945,0.7194648252050064,0.6326466265700488,죽전1동,0.8511487116893799,3,20,23
31,0.5878362006299975,1.0,0.9858963364204922,중앙동,0.3871127387514795,21,5,26
18,0.3412890719651078,0.22615451014242557,0.43131216698203456,서농동,1.0,1,25,26
2,0.6793070026653744,0.35908502373759166,0.8222444359746931,기흥동,0.4395094938794279,18,9,27
9,0.5545190210806882,0.22788088044885627,0.6452293152962174,마북동,0.5298495586697212,9,18,27
16,0.45941361763993216,0.45878290893396634,0.642036804668545,상현1동,0.5149767885460612,12,19,31
3,0.623939907923431,0.41389728096676737,0.7886959157883789,남사읍,0.35426605947624973,22,11,33
1,0.5302883450448267,0.35908502373759166,0.6732257783541454,구성동,0.42909493264424975,19,17,36
12,0.33620062999757694,0.37073802330599914,0.48377665789746255,보라동,0.4878733807443512,14,24,38
5,0.4560213229949115,0.7319810099266293,0.7473937832023689,동백2동,0.3094756153528196,25,13,38
33,0.3405621516840319,0.6922744928787224,0.616129030323632,풍덕천1동,0.45733847519239984,17,21,38
24,0.4419675308941119,0.6383254208027621,0.6960594345773841,영덕1동,0.31079896060505746,24,15,39
28,0.45432517567240127,0.5571860164005179,0.6761187170213563,이동읍,0.3396498728758222,23,16,39
34,0.4044099830385267,0.34915839447561503,0.5433960209558811,풍덕천2동,0.4575744887992445,16,23,39
21,0.20341652532105645,0.2762192490289167,0.3133683970974555,신봉동,0.4759699094716719,15,27,42
30,0.4317906469590501,0.3798014674147604,0.5829744706515988,죽전2동,0.19360652478082957,28,22,50
4,0.3540101768839351,0.13206732844195082,0.4065809155770259,동백1동,0.24589891376681333,26,26,52
25,0.234795250787497,0.1074665515753129,0.27757340090050225,영덕2동,0.16956270561380504,31,29,60
15,0.09401502301914225,0.09236081139404403,0.1307801801443757,상하동,0.23610507803702613,27,34,61
6,0.18088199660770535,0.0,0.18088199660770535,동백3동,0.18893340844411044,29,32,61
11,0.1432032953719409,0.2429866206301252,0.23992658257524196,백암면,0.11772871155883774,32,30,62
7,0.15713593409256119,0.3047043590850237,0.27842659264590136,동부동,0.0,35,28,63
14,0.1572570874727405,0.07207596029348293,0.18594765401439461,상갈동,0.04864726574156014,34,31,65
17,0.0,0.2050064738886491,0.08160490483404617,상현2동,0.18592140292761916,30,35,65
26,0.10479767385510055,0.17738454898575742,0.1754073915115068,원삼면,0.06643921282624976,33,33,66
