,지명,도로명�,위도,경도,활동지�,행정동,NUMPOINTS,chr_count,np_scaled,count * 활동지가중치,scaled_cnt*가중치,읍면동scaled,활동지시설최종수요지수
99,구갈1리 소공원 주변,경기도 용인시 기흥구 신구로 39,37.27570893,127.1093395,주차장,신갈동,16964.458,0,1.0,1.0815573770491804,0.6672290735268461,0.748459564052196,1.4156886375790423
82,명지대사거리 주변,경기도 용인시 처인구 용문로 42,37.23735983,127.190373,주차장,역삼동,14001.37,0,0.9099908847333095,0.9842073544308213,0.6071723749384812,0.780984141783772,1.3881565167222532
109,한신아파트 주변,경기도 용인시 기흥구 신갈로 102,37.27605205,127.1067741,주차장,신갈동,14651.272,0,0.9522299581932601,1.029891335931153,0.6353555127897963,0.748459564052196,1.3838150768419923
37,상현1동,경기도 용인시 수지구 상현로 71 (상현동),37.3046261,127.0811457,공공기관,상현1동,12270.938747666862,1,0.7975249855905255,1.3440257134214102,0.8291497525624552,0.554183572630524,1.3833333251929791
202,죽 전 로,기흥구 죽전로 (보정동 1353번지),37.32123803,127.1130889,주차장,보정동,12864.283361468993,1,0.8360882254781612,0.9042773881298638,0.5578623720724983,0.8131680973685957,1.3710304694410942
23,죽전1동,경기도 용인시 수지구 대지로15번길 50 (죽전동),37.3310497,127.1139958,공공기관,죽전1동,8647.875628824948,1,0.5620512845912964,0.9471946238686109,0.5843386626955851,0.7701800128480061,1.3545186755435912
90,외대 진입로,,37.33674389,127.2517873,주차장,모현읍,9976.22,0,0.6483843555376464,0.7012648828950201,0.432620892834685,0.8979346352125557,1.3305555280472408
116,김량장 공영,,37.2325411,127.1984058,주차장,중앙동,20429.614,0,1.0,1.0815573770491804,0.6672290735268461,0.6566810534337386,1.3239101269605849
110,새천년로16번길 주변,경기도 용인시 기흥구 새천년로16번길 3-10,37.28859166,127.1115249,주차장,신갈동,12918.95,0,0.8396411737083863,0.9081201054985376,0.5602330024284403,0.748459564052196,1.3086925664806364
19,보정동,경기도 용인시 기흥구 죽현로 35 (보정동),37.3194834,127.1146958,공공기관,보정동,7224.611394375848,2,0.4695490880265593,0.7913056762152507,0.48816841752596907,0.8131680973685957,1.3013365148945648
174,보정동,경기도 용인시 기흥구 죽전로 40,37.32018859,127.1130928,주차장,보정동,11123.315048402814,1,0.7229374912643128,0.781898376822345,0.4823649125141099,0.8131680973685957,1.2955330098827056
177,보 정 동,기흥구 죽전로 40,37.32018859,127.1130928,주차장,보정동,11123.315048402814,1,0.7229374912643128,0.781898376822345,0.4823649125141099,0.8131680973685957,1.2955330098827056
38,성복동,경기도 용인시 수지구 성복1로 100 (성복동),37.3164878,127.0690016,공공기관,성복동,7550.438833355615,1,0.4907255871454017,0.826993284566349,0.5101846418722522,0.7684512382071154,1.2786358800793676
