시도,시군구,동리,단지코드,단지명,단지분류,법정동주소,도로명주소,사용승인일,동수,세대수,총주차대수,지상주차대수,지하주차대수
용인시,처인구,역북동,A10025716,역북신원아침도시아파트,아파트,경기도 용인처인구 역북동 795 역북신원아침도시아파트,경기도 용인시 처인구 낙은로 11,20190201,5,452,490.0,0.0,490.0
용인시,처인구,남곡리,A10025679,양지포레스토리,연립주택,경기도 용인처인구 양지면 남곡리 898 양지포레스토리,경기도 용인시 처인구 은이로 85,20190218,15,174,185.0,185.0,0.0
용인시,처인구,고림동,A10025660,양우내안애에듀퍼스트,아파트,경기도 용인처인구 고림동 1014 양우내안애에듀퍼스트,경기도 용인시 처인구 경안천로 196-1,20190304,18,1098,1217.0,8.0,1209.0
용인시,기흥구,영덕동,A10025178,힉스유타워 아파트,아파트,경기도 용인기흥구 영덕동 1315 힉스유타워 아파트,경기도 용인시 기흥구 중부대로 184,20191101,1,230,265.0,0.0,265.0
용인시,수지구,성복동,A10025592,성복역 KCC스위첸,아파트,경기도 용인수지구 성복동 167 성복역 KCC스위첸,경기도 용인시 수지구 성복1로 62,20190322,2,188,212.0,18.0,194.0
용인시,기흥구,신갈동,A10025541,신흥덕 롯데캐슬레이시티,아파트,경기도 용인기흥구 신갈동 736 신흥덕 롯데캐슬레이시티,경기도 용인시 기흥구 신정로 25,20190429,11,1597,1804.0,0.0,1804.0
용인시,수지구,성복동,A10025412,성복역 롯데캐슬 골드타운,아파트,경기도 용인수지구 성복동 789 성복역 롯데캐슬 골드타운,경기도 용인시 수지구 성복2로 10,20190628,13,2356,2817.0,0.0,2817.0
용인시,수지구,풍덕천동,A10025555,수지파크푸르지오,아파트,경기도 용인수지구 풍덕천동 59-2 수지파크푸르지오,경기도 용인시 수지구 풍덕천로171번길 9,20190328,5,430,548.0,0.0,548.0
용인시,기흥구,영덕동,A10025587,용인기흥 효성해링턴플레이스아파트,아파트,경기도 용인기흥구 영덕동 1267 용인기흥 효성해링턴플레이스아파트,경기도 용인시 기흥구 덕영대로2077번길 33,20190329,23,1679,1972.0,32.0,1940.0
용인시,기흥구,보라동,A10025465,용인보라해링턴플레이스아파트,아파트,경기도 용인기흥구 보라동 660 용인보라해링턴플레이스아파트,경기도 용인시 기흥구 사은로84번길 10,20190529,11,970,1119.0,199.0,920.0
용인시,수지구,동천동,A10025481,동천센트럴자이아파트,아파트,경기도 용인수지구 동천동 164-4 동천센트럴자이아파트,경기도 용인시 수지구 고기로45번길 40-18,20190530,8,1057,1383.0,0.0,1383.0
용인시,처인구,김량장동,A10025935,스위트홈아파트,도시형 생활주택(주상복합),경기도 용인처인구 김량장동 329-2 스위트홈아파트,경기도 용인시 처인구 금령로12번길 12,20161226,2,168,134.0,20.0,114.0
용인시,처인구,둔전리,A44977906,인정멜로디,아파트,경기도 용인처인구 포곡읍 둔전리 319 인정멜로디,경기도 용인시 처인구 포곡로61번길 17,19980714,5,831,824.0,305.0,519.0
용인시,처인구,둔전리,A44981205,신원1차,아파트,경기도 용인처인구 포곡읍 둔전리 385 신원1차,경기도 용인시 처인구 포곡로 90,19980714,5,474,485.0,194.0,291.0
용인시,처인구,둔전리,A44981201,신원2차,아파트,경기도 용인처인구 포곡읍 둔전리 147 신원2차,경기도 용인시 처인구 포곡로 98-1,19991220,2,296,296.0,246.0,50.0
용인시,처인구,왕산리,A44985401,풍산햇빛마을,아파트,경기도 용인처인구 모현읍 왕산리 464-2 풍산햇빛마을,경기도 용인시 처인구 백옥대로2332번길 21-8,20000324,4,330,330.0,98.0,232.0
용인시,처인구,삼가동,A44980405,용인행정타운두산위브2단지,아파트,경기도 용인처인구 삼가동 563 용인행정타운두산위브2단지,경기도 용인시 처인구 지삼로590번길 9,20131129,9,624,844.0,36.0,808.0
용인시,처인구,둔전리,A44981101,삼성쉐르빌아파트,아파트,경기도 용인처인구 포곡읍 둔전리 449 삼성쉐르빌아파트,경기도 용인시 처인구 포곡로 159,20120911,8,469,671.0,74.0,597.0
