,시도,시군구,동리,단지코드,단지명,단지분류,법정동주소,도로명주소,동수,세대수,총주차대수,지상주차대수,지하주차대수,y,x
0,용인시,처인구,역북동,A10025716,역북신원아침도시아파트,아파트,경기도 용인처인구 역북동 795 역북신원아침도시아파트,경기도 용인시 처인구 낙은로 11,5,452,490,0,490,37.2385704552006,127.197317788422
1,용인시,처인구,남곡리,A10025679,양지포레스토리,연립주택,경기도 용인처인구 양지면 남곡리 898 양지포레스토리,경기도 용인시 처인구 은이로 85,15,174,185,185,0,37.2237979176946,127.278730828863
2,용인시,처인구,고림동,A10025660,양우내안애에듀퍼스트,아파트,경기도 용인처인구 고림동 1014 양우내안애에듀퍼스트,경기도 용인시 처인구 경안천로 196-1,18,1098,1217,8,1209,37.2491879717277,127.221192942292
3,용인시,기흥구,영덕동,A10025178,힉스유타워 아파트,아파트,경기도 용인기흥구 영덕동 1315 힉스유타워 아파트,경기도 용인시 기흥구 중부대로 184,1,230,265,0,265,37.2691613298833,127.090689370086
4,용인시,수지구,성복동,A10025592,성복역 KCC스위첸,아파트,경기도 용인수지구 성복동 167 성복역 KCC스위첸,경기도 용인시 수지구 성복1로 62,2,188,212,18,194,37.3152131053821,127.072942564189
5,용인시,기흥구,신갈동,A10025541,신흥덕 롯데캐슬레이시티,아파트,경기도 용인기흥구 신갈동 736 신흥덕 롯데캐슬레이시티,경기도 용인시 기흥구 신정로 25,11,1597,1804,0,1804,37.2730954778418,127.101431429455
6,용인시,수지구,성복동,A10025412,성복역 롯데캐슬 골드타운,아파트,경기도 용인수지구 성복동 789 성복역 롯데캐슬 골드타운,경기도 용인시 수지구 성복2로 10,13,2356,2817,0,2817,37.3112648289337,127.083106430916
7,용인시,수지구,풍덕천동,A10025555,수지파크푸르지오,아파트,경기도 용인수지구 풍덕천동 59-2 수지파크푸르지오,경기도 용인시 수지구 풍덕천로171번길 9,5,430,548,0,548,37.3268290106252,127.099244427714
8,용인시,기흥구,영덕동,A10025587,용인기흥 효성해링턴플레이스아파트,아파트,경기도 용인기흥구 영덕동 1267 용인기흥 효성해링턴플레이스아파트,경기도 용인시 기흥구 덕영대로2077번길 33,23,1679,1972,32,1940,37.2664821050674,127.095698664994
9,용인시,기흥구,보라동,A10025465,용인보라해링턴플레이스아파트,아파트,경기도 용인기흥구 보라동 660 용인보라해링턴플레이스아파트,경기도 용인시 기흥구 사은로84번길 10,11,970,1119,199,920,37.2540844951938,127.113437206674
10,용인시,수지구,동천동,A10025481,동천센트럴자이아파트,아파트,경기도 용인수지구 동천동 164-4 동천센트럴자이아파트,경기도 용인시 수지구 고기로45번길 40-18,8,1057,1383,0,1383,37.341437124213,127.094892462148
11,용인시,처인구,김량장동,A10025935,스위트홈아파트,도시형 생활주택(주상복합),경기도 용인처인구 김량장동 329-2 스위트홈아파트,경기도 용인시 처인구 금령로12번길 12,2,168,134,20,114,37.2339512861635,127.198212347459
12,용인시,처인구,둔전리,A44977906,인정멜로디,아파트,경기도 용인처인구 포곡읍 둔전리 319 인정멜로디,경기도 용인시 처인구 포곡로61번길 17,5,831,824,305,519,37.270823929875,127.212646166538
13,용인시,처인구,둔전리,A44981205,신원1차,아파트,경기도 용인처인구 포곡읍 둔전리 385 신원1차,경기도 용인시 처인구 포곡로 90,5,474,485,194,291,37.2674506609158,127.215710104946
14,용인시,처인구,둔전리,A44981201,신원2차,아파트,경기도 용인처인구 포곡읍 둔전리 147 신원2차,경기도 용인시 처인구 포곡로 98-1,2,296,296,246,50,37.2671835381001,127.218051635498
15,용인시,처인구,왕산리,A44985401,풍산햇빛마을,아파트,경기도 용인처인구 모현읍 왕산리 464-2 풍산햇빛마을,경기도 용인시 처인구 백옥대로2332번길 21-8,4,330,330,98,232,37.3324937606486,127.250215216931
16,용인시,처인구,삼가동,A44980405,용인행정타운두산위브2단지,아파트,경기도 용인처인구 삼가동 563 용인행정타운두산위브2단지,경기도 용인시 처인구 지삼로590번길 9,9,624,844,36,808,37.2404522884646,127.167354380587
17,용인시,처인구,둔전리,A44981101,삼성쉐르빌아파트,아파트,경기도 용인처인구 포곡읍 둔전리 449 삼성쉐르빌아파트,경기도 용인시 처인구 포곡로 159,8,469,671,74,597,37.2739215707702,127.220790267532
