시구;설치장소;주소;급속충전기(대);완속충전기(대);지원차종
경기도;가현마을신안아파트;경기도 용인시 기흥구 구갈동 344;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;경남아너스빌;경기도 용인시 기흥구 영덕동 1117;0 ;4 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;교동마을동양파라곤;경기도 용인시 기흥구 마북동 641;1 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;교동마을쌍용;경기도 용인시 기흥구 마북동 621;1 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;구성역 효성해링턴플레이스;경기도 용인시 기흥구 마북동 651;0 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;구성자이3차;경기도 용인시 기흥구 마북동 638;1 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;금화마을대우현대아파트;경기도 용인시 기흥구 상갈동 461;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;금화마을주공4단지;경기도 용인시 기흥구 상갈동 463;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;기흥구청;경기도 용인시 기흥구 구갈동 355;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;대주피오레1단지;경기도 용인시 기흥구 공세동 694;1 ;3 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;동백금호어울림타운하우스;경기도 용인시 기흥구 중동 865;0 ;1 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;동백금호어울림타운하우스 2단지;경기도 용인시 기흥구 중동 863;0 ;1 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;동백하우스토리;경기도 용인시 기흥구 중동 869;0 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;동아솔레시티아파트;경기도 용인시 기흥구 보정동 1162;1 ;3 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;동일하이빌2차아파트;경기도 용인시 기흥구 언남동 496;1 ;3 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;백현마을 한라비발디2단지;경기도 용인시 기흥구 동백동 662;1 ;1 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;보정한화꿈에그린아파트;경기도 용인시 기흥구 보정동 1393;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;새천년그린빌1단지아파트;경기도 용인시 기흥구 신갈동 681;0 ;3 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;서천마을1단지;경기도 용인시 기흥구 서천동 서천서로 27;1 ;1 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;서천마을4단지;경기도 용인시 기흥구 서천동 823;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;수원동마을 쌍용스윗닷홈 2단지;경기도 용인시 기흥구 상하동 652;1 ;1 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;신갈동주민센터;경기도 용인시 기흥구 신갈동 60-3;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;신동백롯데캐슬에코2단지;경기도 용인시 기흥구 중동 1101;1 ;3 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;신동백서해그랑블1차;경기도 용인시 기흥구 중동 1102;1 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;신동아파밀리에;경기도 용인시 기흥구 영덕동 1069;1 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;써니밸리아파트;경기도 용인시 기흥구 지곡동 704;1 ;1 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;양현마을풍림아파트;경기도 용인시 기흥구 신갈동 158;1 ;1 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;연원마을성원아파트;경기도 용인시 기흥구 보정동 694;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;영덕동주민센터;경기도 용인시 기흥구 흥덕1로 13;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;예현마을현대홈타운;경기도 용인시 기흥구 서천동 705;1 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;이마트 동백점;경기도 용인시 기흥구 중동 833;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;죽전1차힐데스하임;경기도 용인시 기흥구 보정동 1308;0 ;1 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;현대모닝사이드1차;경기도 용인시 기흥구 보라동 570;1 ;4 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;호반베르디움;경기도 용인시 기흥구 청덕동 567;0 ;3 ;레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV
경기도;화성파크드림아파트;경기도 용인시 기흥구 보라동 633;1 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;흥덕마을5단지호반베르디움(레이크파크);경기도 용인시 기흥구 영덕동 976;1 ;3 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;흥덕힐스테이트 아파트;경기도 용인시 기흥구 영덕동 969;1 ;3 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;경남아너스빌2차;경기도 용인시 수지구 성복동 754;0 ;1 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;광교경남아너스빌;경기도 용인시 수지구 상현동 1115;1 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;광교마을 45단지 아파트;경기도 용인시 수지구 상현동 1113;1 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;광교마을46단지 광교스타클래스;경기도 용인시 수지구 상현동 1108;0 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;금호베스트빌2단지아파트;경기도 용인시 수지구 상현동 832;1 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;꽃메마을한라신영프로방스아파트;경기도 용인시 수지구 죽전동 1302;1 ;1 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;도담마을우미이노스빌1차;경기도 용인시 수지구 죽전동 1261;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;도담마을푸르지오;경기도 용인시 수지구 죽전동 1275;0 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
